순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수,내용,이미지
1,189114943,"바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인",https://www.yes24.com/product/goods/189114943,차진우,골든래빗,2026년 05월,"25,200","28,000",10%,"38,511","바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인. * 코워크, 스킬, 클로드 코드, 디자인까지, 클로드의 모든 것을 한 권에!* 바로 배워 바로 쓰는 82가지 미친 활용법으로 10배 빨라지는 업무 속도* 말 한마디면 알아서 다 하는 진짜 AI 비...",https://image.yes24.com/goods/189114943/xl
2,167573138,혼자 공부하는 바이브 코딩 with 클로드 코드,https://www.yes24.com/product/goods/167573138,조태호,한빛미디어,2025년 12월,"27,000","30,000",10%,"80,778","혼자 공부하는 바이브 코딩 with 클로드 코드. 국내 최초 북미 글로벌 IT 출판사 판권 계약 체결! 영어판 출간 확정하버드의과대학교수, 국회의원, 실리콘밸리 벤처캐피탈 창립파트너 등 국내외 전문가 강력 추천!코딩 몰라도, 아이디어만 있으면 앱을 만드는 시대...",https://image.yes24.com/goods/167573138/xl
3,192148896,뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드,https://www.yes24.com/product/goods/192148896,코리아교육그룹 연구소,안경다리BOOKS,2026년 06월,"19,800","22,000",10%,"13,017","뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드. 안경다리북스 ‘뚝딱’ 시리즈의 첫 번째 책3대 AI를 내 업무에 맞게 쓰는 가장 쉬운 방법처음이어도 바로 써먹는 직장인 AI 실전서남들은 다 AI로 편하게 일한다는데, 나만 뒤처지는 건 아닐까? ...",https://image.yes24.com/goods/192148896/xl
4,176901674,이게 되네? 제미나이 완전 미친 활용법 81제,https://www.yes24.com/product/goods/176901674,오힘찬,골든래빗,2026년 02월,"21,600","24,000",10%,"77,754","이게 되네? 제미나이 완전 미친 활용법 81제. * AI 활용 5만 권 판매 베스트셀러 저자 오힘찬의 완전히 새로운 신간!* “메일 작성하기” 같은 시시한 거 싹 치우고 “AI 영상 만들기” 같은 더 미친 예제를 담아* 구글 AI 혁명의 중심, 〈제미나이〉가 ...",https://image.yes24.com/goods/176901674/xl
5,169849422,"요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이",https://www.yes24.com/product/goods/169849422,"안익재, 황의태",앤써북,2025년 12월,"17,820","19,800",10%,"45,189","요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이. 요즘 교사들이 가장 많이 사용하는 5가지 에듀테크를 수업과 업무 완성에 어떻게 활용했고, 어떻게 활용할 수 있는지 50가지 주제별 실습과 100가지 실제 활용 사례와...",https://image.yes24.com/goods/169849422/xl
6,150566390,"AI 시대의 질문력, 프롬프트 엔지니어링",https://www.yes24.com/product/goods/150566390,류한석,코리아닷컴(Korea.com),2025년 08월,"24,300","27,000",10%,"77,439","AI 시대의 질문력, 프롬프트 엔지니어링. 대한민국 최고의 대기업과 공공기관이 선택한 프롬프트 엔지니어링 교과서당신의 질문력이 곧 당신의 경쟁력이다!책에 포함된 QR 코드를 통해 모든 프롬프트를 다운로드할 수 있다.이제 프롬프트는 새로운 교양이다. 누구나 써야...",https://image.yes24.com/goods/150566390/xl
7,193587161,돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지 [홍차의 커스텀 브러시 제공＋승인율 가이드 전자책 제공],https://www.yes24.com/product/goods/193587161,스튜디오 홍차,골든래빗,2026년 07월,"23,220","25,800",10%,"4,080",돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지 [홍차의 커스텀 브러시 제공＋승인율 가이드 전자책 제공]. ★ 취미로 그린 그림이 평생 연금이 되는 마법! 1달러에서 월 300만 원이 된 수익화 파이프라인★ 네이버 블로그에 검색 최적화(SEO)가 있다면...,https://image.yes24.com/goods/193587161/xl
8,189818905,하네스 엔지니어링 with 클로드 코드,https://www.yes24.com/product/goods/189818905,황민호,한빛미디어,2026년 06월,"27,000","30,000",10%,"20,373","하네스 엔지니어링 with 클로드 코드. 단일 에이전트 대신 ‘에이전트 팀’을 설계하라클로드 코드로 구축하는 최초의 하네스 실전 가이드 AI 에이전트를 도구로 쓰는 단계를 넘어, 스스로 일하는 에이전트 팀을 직접 설계하고 운영하는 방법인 하네스 엔지니어링을 체...",https://image.yes24.com/goods/189818905/xl
9,183751609,한눈에 보는 AI 반도체 산업,https://www.yes24.com/product/goods/183751609,MrTrigger,한빛미디어,2026년 03월,"23,400","26,000",10%,"16,320","한눈에 보는 AI 반도체 산업. AI 반도체 생태계의 구조와 기술 흐름 + 글로벌 기업의 경쟁 구도와 산업 판도 + 투자자가 알아야 할 핵심 포인트를 한눈에!  코스피 열풍과 글로벌 증시를 이끄는 중심에는 AI 반도체 산업이 있다. 엔비디아, TSMC, 삼성전...",https://image.yes24.com/goods/183751609/xl
10,189413191,요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정,https://www.yes24.com/product/goods/189413191,"공지훈, 곽수창, 박준효",한빛미디어,2026년 05월,"19,800","22,000",10%,"11,907","요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정. 코딩을 몰라도, 상상만으로 나만의 에듀테크를 뚝딱!교사의 교육철학을 담은 맞춤형 수업 도구, 이제 바이브 코딩으로 직접 만드세요.* 실습용 PRD(Product Requireme...",https://image.yes24.com/goods/189413191/xl
